neighborhood,shelter_no,waze_link,area,type,capacity,operator,latitude,longiude,address_label,Administration,neighborhood,name_other,google_maps_link
Katamon,Public Shelter No.981,"https://ul.waze.com/ul?place=ChIJXektxJLXAhURWAH2ZCVVPQs&amp;ll=31.75430510,35.19200820&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.75481470,35.19195140&amp;navigate=yes&amp;zoom=16",50,,40,"""Tzofim"", Society Division, Jerusalem Municipality",31.7543415655686,35.1920082039468,27 Avraham Elmaliach St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7543051,35.1920082+(27+Avraham+Elmaliach+St.)"
Kiryat HaYovel,Public Shelter No.983,"https://www.waze.com/ul?ll=31.76654040,35.17699570&amp;navigate=yes&amp;zoom=16",100,,80,"""Ezra"" youth movement",31.7665768607391,35.1770386192918,10 Gordon St.,,,"Kiryat Yovel, Accessible Shelter","https://www.google.com/maps/dir//31.7665404,35.1769957+(10+Gordon+St.)"
Baka,Public Shelter No.984,"https://www.waze.com/ul?ll=31.76170680,35.22127960&amp;navigate=yes&amp;zoom=16",160,,128,"Jerusalem Municipality, Culture Department, Beit Yael",31.76190746,35.2212796,11 Ya'el St.,,,Baka,"https://www.google.com/maps/dir//31.7617068,35.2212796+(11+Ya'el+St.)"
City Center,Public Shelter No.985,"https://www.waze.com/ul?ll=31.78526160,35.21873190&amp;navigate=yes&amp;zoom=16",50,,40,"""Helek MiMeni Bracha VeHesed"" organization (assistance to the needy)",31.78547133,35.21869972,13 Strauss St.,,,City Center,"https://www.google.com/maps/dir//31.7852616,35.2187319+(13+Strauss+St.)"
Katamon,Public Shelter No.987,"https://ul.waze.com/ul?place=EjBSYWJhbiBZb2hhbmFuIGJlbiBaYWthaSBTdCAzOCwgSmVydXNhbGVtLCBJc3JhZWwiMBIuChQKEgmdO9jZ3dcCFRELYi1aT5fa_xAmKhQKEgkfJuoF3tcCFRFvPt8-yjbViA&amp;ll=31.75924130,35.20897780&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",100,,80,"""Ohel Moshe"" synagogue",31.7592267741127,35.2089806039466,38 Yohanan Ben Zakai St.,,,Gonenim - Katamonim,"https://www.google.com/maps/dir//31.7592413,35.2089778+(38+Yohanan+Ben+Zakai+St.)"
,Public Shelter No. 991,"https://ul.waze.com/ul?place=EiZBdnJhaGFtIFNoYXJvbiBTdCAyLCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCfGOul6e1wIVEbbsRYsnkxleEAIqFAoSCX05XFme1wIVEQtMU9AWQYOP&amp;ll=31.76390810,35.17301330&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location",,Shelter,,,31.7641269998997,35.1730133034474,"Avraham Sharon  2, Jerusalem",,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7639081,35.1730133+(Avraham+Sharon +2,+Jerusalem)"
Kiryat HaYovel,Public Shelter No.992,"https://ul.waze.com/ul?place=EjVNYSdhbG90IFlpdHNoYWsgVHN2aSBFdGluZ2VyIFN0IDE5LCBKZXJ1c2FsZW0sIElzcmFlbCIwEi4KFAoSCSOm1k2Z1wIVEeud_nszKpK9EBMqFAoSCenJ-zWZ1wIVEfz1iyEpg8r-&amp;ll=31.76325670,35.17748120&amp;navigate=yes&amp;utm_campaign=default&amp;utm_source=waze_website&amp;utm_medium=lm_share_location?ll=31.76306080,35.17719380&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.7632566741108,35.1774812039463,19 Etinger St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.7632567,35.1774812+(19+Etinger+St.)"
Kiryat HaYovel,Public Shelter No.993,"https://www.waze.com/ul?ll=31.76336200,35.17455000&amp;navigate=yes&amp;zoom=16?ll=31.76336200,35.17455000&amp;navigate=yes&amp;zoom=16",100,,80,"Mashu-Mashu Theatre, Culture Division, Jerusalem Municipality",31.76409128,35.1746754,3 Kleinman St.,,,Kiryat Yovel,"https://www.google.com/maps/dir//31.763362,35.17455+(3+Kleinman+St.)"
Baka,Public Shelter No.995,"https://www.waze.com/ul?ll=31.75734040,35.22089700&amp;navigate=yes&amp;zoom=16",100,,80,Baka Community Administration,31.75755932,35.220897,3 Levi St.,,,Baka,"https://www.google.com/maps/dir//31.7573404,35.220897+(3+Levi+St.)"
French Hill,Public Shelter No.998,"https://www.waze.com/ul?ll=31.80554010,35.24143650&amp;navigate=yes&amp;zoom=16",100,,80,"Emergency and Security Division, Jerusalem Municipality",31.80571068,35.24163187,6 Aba Berdichev St.,,,French Hill,"https://www.google.com/maps/dir//31.8055401,35.2414365+(6+Aba+Berdichev+St.)"
